Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,4.962240219116211,4.962240219116211,4.838183879852295,4.962240219116211,3.2406187057495117,100357
2000-01-05,4.962240219116211,5.293056011199951,4.962240219116211,5.169000148773193,3.3756444454193115,1966130
2000-01-06,5.127647876739502,5.210351943969727,5.044943809509277,5.169000148773193,3.3756444454193115,1630634
2000-01-07,5.251704216003418,5.293056011199951,5.086296081542969,5.210351943969727,3.4026482105255127,737428
2000-01-10,5.210351943969727,5.375760078430176,5.127647876739502,5.293056011199951,3.456660032272339,944758
2000-01-11,5.293056011199951,5.4584641456604,5.169000148773193,5.251704216003418,3.429655075073242,765380
2000-01-12,5.251704216003418,5.251704216003418,5.169000148773193,5.210351943969727,3.4026482105255127,397804
2000-01-13,5.169000148773193,5.251704216003418,5.127647876739502,5.251704216003418,3.429655075073242,371204
2000-01-14,5.251704216003418,5.334407806396484,5.210351943969727,5.293056011199951,3.456660032272339,613996
2000-01-17,5.334407806396484,5.665224075317383,5.210351943969727,5.623871803283691,3.6727004051208496,1895917
2000-01-18,5.623871803283691,5.871984004974365,5.541168212890625,5.789279937744141,3.78072190284729,1830261
2000-01-19,5.747928142547607,6.161448001861572,5.623871803283691,6.161448001861572,4.023767948150635,3047231
2000-01-20,6.3268561363220215,6.368207931518555,5.747928142547607,5.747928142547607,3.753716468811035,1968935
2000-01-21,5.541168212890625,5.623871803283691,5.375760078430176,5.4584641456604,3.564681053161621,1344373
2000-01-24,5.375760078430176,5.541168212890625,5.293056011199951,5.541168212890625,3.6186907291412354,793683
2000-01-25,5.541168212890625,5.747928142547607,5.541168212890625,5.747928142547607,3.753716468811035,1159605
2000-01-26,5.789279937744141,5.871984004974365,5.623871803283691,5.830632209777832,3.8077268600463867,1042271
2000-01-27,5.830632209777832,6.0373921394348145,5.789279937744141,5.996039867401123,3.9157471656799316,1555593
2000-01-28,6.0373921394348145,6.161448001861572,5.996039867401123,6.078743934631348,3.9697582721710205,1557831
